Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session
1,1718251734.627507,2024-07-21 08:54:36,2024-06-13 04:08:54.629079+00:00,56,18.33449675,3.0543516281678142,36.65221953801377,0,7.142857142857143,7.142857142857143,GEN,1,1,"In the beginning, God created the heavens and the earth.",1,1,90.0,14.285714285714285,v2,home,mac,qwerty,yes,,,,5221,2.3386342376052385,,,,,,,,,,2024.0,7.0,2024-07-21,8.0,54.0,6.0,4.0,2.0,1,2024-07-21 08:54:54.334496750,2024.0,7.0,2024-07-21,8.0,54.0,4.0,6.0,2.0,36.652,1,1
2,1718251752.984276,2024-07-21 09:13:00,2024-06-13 04:09:12.984307+00:00,135,38.44427692,3.511575995953114,42.138911951437365,0,8.148148148148149,8.148148148148149,GEN,1,2,The earth was formless and empty. Darkness was on the surface of the deep and God's Spirit was hovering over the surface of the waters.,2,1,92.0,16.296296296296298,v2,home,mac,qwerty,yes,,,,5110,4.415341440598691,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,13.0,2.0,1.0,1.0,1,2024-07-21 09:13:38.444276920,2024.0,7.0,2024-07-21,9.0,13.0,1.0,2.0,1.0,39.396,2,1
3,1718251791.440473,2024-07-21 09:51:24,2024-06-13 04:09:51.440488+00:00,52,17.20255054,3.0228075700789185,36.27369084094703,0,5.769230769230769,5.769230769230769,GEN,1,3,"God said, ""Let there be light,"" and there was light.",3,1,80.0,11.538461538461538,v2,home,mac,qwerty,yes,,,,5226,2.245088868101029,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,51.0,6.0,4.0,2.0,1,2024-07-21 09:51:41.202550540,2024.0,7.0,2024-07-21,9.0,51.0,4.0,6.0,2.0,38.355,3,1
4,1718251808.658428,2024-07-21 10:08:42,2024-06-13 04:10:08.658460+00:00,85,21.86266238,3.887907087528263,46.65488505033916,0,4.705882352941177,4.705882352941177,GEN,1,4,"God saw the light, and saw that it was good. God divided the light from the darkness.",4,1,82.35294117647058,9.411764705882351,v2,home,mac,qwerty,yes,,,,4947,7.464920486435922,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,8.0,1.0,1.0,1.0,1,2024-07-21 10:09:03.862662380,2024.0,7.0,2024-07-21,10.0,9.0,1.0,1.0,1.0,40.43,4,1
5,1718251830.537689,2024-07-21 10:30:30,2024-06-13 04:10:30.537727+00:00,119,46.28391683,2.571087499559979,30.853049994719747,0,35.294117647058826,31.09243697478992,GEN,1,5,"God called the light ""day"", and the darkness he called ""night"". There was evening and there was morning, the first day.",5,1,80.95238095238095,70.58823529411765,v2,home,mac,qwerty,yes,,,,5271,1.4031805425631432,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,30.0,4.0,3.0,2.0,1,2024-07-21 10:31:16.283916830,2024.0,7.0,2024-07-21,10.0,31.0,3.0,4.0,2.0,38.515,5,1
6,1718251876.850143,2024-07-21 11:16:48,2024-06-13 04:11:16.850163+00:00,110,27.146175,4.052136258607336,48.62563510328803,0,3.636363636363636,3.636363636363636,GEN,1,6,"God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",6,1,90.90909091,7.272727272727272,v2,home,mac,qwerty,yes,,,,4851,9.260991580916745,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,16.0,2.0,2.0,1.0,1,2024-07-21 11:17:15.146175000,2024.0,7.0,2024-07-21,11.0,17.0,2.0,2.0,1.0,40.2,6,1
7,1718251904.002024,2024-07-21 11:44:00,2024-06-13 04:11:44.002037+00:00,134,34.02749183,3.9379922755901817,47.25590730708218,0,4.477611940298507,4.477611940298507,GEN,1,7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",7,1,88.0,8.955223880597014,v2,home,mac,qwerty,yes,,,,4919,7.988774555659495,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,44.0,5.0,3.0,2.0,1,2024-07-21 11:44:34.027491830,2024.0,7.0,2024-07-21,11.0,44.0,3.0,5.0,2.0,41.208,7,1
8,1718253756.551036,,2024-06-13 04:42:36.553218+00:00,84,23.37744967,3.593206324750463,43.11847589700555,0,8.333333333333334,5.9523809523809526,GEN,1,8,"God called the expanse ""sky"". There was evening and there was morning, a second day.",8,0,86.66666666666667,14.285714285714285,v2,,mac,qwerty,yes,,,,5083,4.920486435921422,,,,,,,,,,,,,,,,,,1,,,,,,,,,,41.447,7,2
9,1718254691.0905442,,2024-06-13 04:58:11.091695+00:00,119,30.70455313,3.875646700199289,46.50776040239146,0,2.5210084033613445,2.5210084033613445,GEN,1,9,"God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear;"" and it was so.",9,1,95.83333333333334,5.042016806722689,v2,,mac,qwerty,yes,,,,4957,7.277829747427503,,,,,,,,,,,,,,,,,,1,,,,,,,,,,42.009,7,3
10,1718328610.9887831,,2024-06-14 01:30:10.990194+00:00,117,28.72093271,4.073683859275811,48.88420631130974,0,8.547008547008547,8.547008547008547,GEN,1,10,"God called the dry land ""earth"", and the gathering together of the waters he called ""seas"". God saw that it was good.",10,1,90.90909091,17.094017094017094,v2,,mac,qwerty,yes,,,,4832,9.61646398503274,42.696474239653405,,,8.199292886738014,,,17.477017146025048,,,,,,,,,,,1,,,,,,,,,,42.696,7,4
